dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
01/06/1761,16.820999999999998,3.1660000000000004,,,,,,
01/07/1761,19.021,2.696,,,,,,
01/08/1761,15.331,2.013,,,,,,
01/09/1761,12.534999999999998,4.075,,,,,,
01/10/1761,7.2269999999999985,3.932,,,,,,
01/11/1761,5.089,2.248,,,,,,
01/12/1761,-0.8370000000000002,4.468,,,,,,
01/01/1762,6.8660000000000005,3.776,,,,,,
01/02/1762,4.801,7.88,,,,,,
01/03/1762,3.5280000000000005,4.138999999999999,,,,,,
01/04/1762,9.019,2.199,,,,,,
01/05/1762,10.880999999999998,3.044,,,,,,
01/06/1762,13.499,3.3110000000000004,,,,,,
01/07/1762,14.72,1.966,,,,,,
01/08/1762,13.992,3.329,,,,,,
01/09/1762,10.326,3.2260000000000004,,,,,,
01/10/1762,6.156000000000001,2.879,,,,,,
01/11/1762,6.367000000000001,3.354,,,,,,
01/12/1762,3.123,3.188,,,,,,
01/01/1763,1.3690000000000002,6.415,,,,,,
01/02/1763,0.7709999999999999,4.102,,,,,,
01/03/1763,1.5760000000000003,4.635,,,,,,
01/04/1763,7.870999999999999,2.275,,,,,,
01/05/1763,10.701,2.736,,,,,,
01/06/1763,12.271,2.224,,,,,,
01/07/1763,16.391,1.754,,,,,,
01/08/1763,14.126,2.157,,,,,,
01/09/1763,11.378,2.827,,,,,,
01/10/1763,5.535,2.9610000000000003,,,,,,
01/11/1763,4.588,2.08,,,,,,
01/12/1763,3.384,3.653,,,,,,
01/01/1764,1.741,3.628,,,,,,
01/02/1764,6.162000000000001,2.8680000000000003,,,,,,
01/03/1764,5.521,2.488,,,,,,
01/04/1764,7.879999999999999,3.159,,,,,,
01/05/1764,11.175,4.55,,,,,,
01/06/1764,11.723,1.707,,,,,,
01/07/1764,12.507,3.256,,,,,,
01/08/1764,12.282,1.259,,,,,,
01/09/1764,10.696,2.236,,,,,,
01/10/1764,10.011,2.515,,,,,,
01/11/1764,5.791,2.8280000000000003,,,,,,
01/12/1764,5.315,2.809,,,,,,
01/01/1765,3.78,4.928,,,,,,
01/02/1765,3.832,3.156,,,,,,
01/03/1765,6.859,2.442,,,,,,
01/04/1765,9.013,1.4480000000000002,,,,,,
01/05/1765,10.734000000000002,1.928,,,,,,
01/06/1765,10.832999999999998,1.453,,,,,,
01/07/1765,13.953,2.375,,,,,,
01/08/1765,13.12,1.872,,,,,,
01/09/1765,10.993,1.705,,,,,,
01/10/1765,7.904,1.533,,,,,,
01/11/1765,5.603,3.737,,,,,,
01/12/1765,2.399,2.556,,,,,,
01/01/1766,-0.7930000000000001,4.766,,,,,,
01/02/1766,4.896,3.741,,,,,,
01/03/1766,6.062,2.802,,,,,,
01/04/1766,8.007,2.084,,,,,,
01/05/1766,11.228,1.555,,,,,,
01/06/1766,13.653,3.745,,,,,,
01/07/1766,13.555,2.341,,,,,,
01/08/1766,13.758,2.5980000000000003,,,,,,
01/09/1766,12.25,2.855,,,,,,
01/10/1766,8.465,1.491,,,,,,
01/11/1766,7.4540000000000015,3.774,,,,,,
01/12/1766,2.333,2.278,,,,,,
01/01/1767,-0.6430000000000002,5.6560000000000015,,,,,,
01/02/1767,3.932,4.973,,,,,,
01/03/1767,7.022,4.418,,,,,,
01/04/1767,6.278,3.557,,,,,,
01/05/1767,10.193,1.501,,,,,,
01/06/1767,14.112,1.426,,,,,,
01/07/1767,13.361,2.559,,,,,,
01/08/1767,14.597,1.466,,,,,,
01/09/1767,11.675,2.313,,,,,,
01/10/1767,9.027,1.611,,,,,,
01/11/1767,7.915,3.775,,,,,,
01/12/1767,1.189,2.297,,,,,,
01/01/1768,-2.08,3.027,,,,,,
01/02/1768,0.5060000000000002,3.04,,,,,,
01/03/1768,2.446,2.157,,,,,,
01/04/1768,6.92,1.84,,,,,,
01/05/1768,9.066,2.4330000000000003,,,,,,
01/06/1768,12.489999999999998,1.729,,,,,,
01/07/1768,13.875,2.552,,,,,,
01/08/1768,12.352,2.046,,,,,,
01/09/1768,10.824000000000002,1.504,,,,,,
01/10/1768,7.728999999999999,2.5580000000000003,,,,,,
01/11/1768,4.581,2.02,,,,,,
01/12/1768,2.667,2.286,,,,,,
01/01/1769,2.305,3.76,,,,,,
01/02/1769,2.164,2.527,,,,,,
01/03/1769,4.57,2.225,,,,,,
01/04/1769,8.966999999999997,3.105,,,,,,
01/05/1769,12.873,1.753,,,,,,
01/06/1769,15.142,1.727,,,,,,
01/07/1769,14.461,3.669,,,,,,
01/08/1769,13.494000000000002,1.604,,,,,,
01/09/1769,11.25,1.598,,,,,,
01/10/1769,5.296999999999999,2.395,,,,,,
01/11/1769,2.79,2.267,,,,,,
01/12/1769,-0.9780000000000002,2.291,,,,,,
01/01/1770,1.974,4.275,,,,,,
01/02/1770,4.105,4.129,,,,,,
01/03/1770,1.612,2.276,,,,,,
01/04/1770,9.788,3.516,,,,,,
01/05/1770,9.996,1.27,,,,,,
01/06/1770,11.884,3.395,,,,,,
01/07/1770,11.621,2.658,,,,,,
01/08/1770,11.413,3.14,,,,,,
01/09/1770,10.724,1.51,,,,,,
01/10/1770,8.661,1.6030000000000002,,,,,,
01/11/1770,5.791,2.7260000000000004,,,,,,
01/12/1770,4.734,2.87,,,,,,
01/01/1771,5.101,4.287,,,,,,
01/02/1771,-0.2739999999999999,3.218,,,,,,
01/03/1771,2.814,3.237,,,,,,
01/04/1771,5.716999999999999,2.647,,,,,,
01/05/1771,9.626,3.088,,,,,,
01/06/1771,14.104,1.403,,,,,,
01/07/1771,13.828,1.435,,,,,,
01/08/1771,14.204,2.246,,,,,,
01/09/1771,11.363,1.515,,,,,,
01/10/1771,10.317,1.721,,,,,,
01/11/1771,4.916,2.952,,,,,,
01/12/1771,2.522,3.506,,,,,,
01/01/1772,1.253,4.624,,,,,,
01/02/1772,1.4780000000000002,5.962999999999999,,,,,,
01/03/1772,3.057,2.206,,,,,,
01/04/1772,8.857999999999997,1.524,,,,,,
01/05/1772,9.531,1.844,,,,,,
01/06/1772,12.646999999999998,2.4290000000000003,,,,,,
01/07/1772,14.581,1.409,,,,,,
01/08/1772,14.098,1.641,,,,,,
01/09/1772,10.303,1.334,,,,,,
01/10/1772,9.268,1.386,,,,,,
01/11/1772,7.736000000000001,2.582,,,,,,
01/12/1772,5.5120000000000005,2.624,,,,,,
01/01/1773,-0.4369999999999998,2.9330000000000003,,,,,,
01/02/1773,1.4209999999999998,3.0210000000000004,,,,,,
01/03/1773,4.4220000000000015,2.083,,,,,,
01/04/1773,9.415,2.095,,,,,,
01/05/1773,12.764,2.537,,,,,,
01/06/1773,12.811,1.259,,,,,,
01/07/1773,14.484000000000002,1.085,,,,,,
01/08/1773,13.624,1.162,,,,,,
01/09/1773,12.488,1.676,,,,,,
01/10/1773,9.206,1.874,,,,,,
01/11/1773,3.369,4.817,,,,,,
01/12/1773,5.090999999999998,3.787,,,,,,
01/01/1774,-0.3249999999999997,4.557,,,,,,
01/02/1774,4.914,5.124,,,,,,
01/03/1774,5.643,2.779,,,,,,
01/04/1774,10.153,3.849,,,,,,
01/05/1774,16.025,2.535,,,,,,
01/06/1774,15.371,3.891,,,,,,
01/07/1774,16.521,3.806,,,,,,
01/08/1774,14.099,1.947,,,,,,
01/09/1774,10.936,2.115,,,,,,
01/10/1774,8.59,2.625,,,,,,
01/11/1774,3.029,4.4830000000000005,,,,,,
01/12/1774,0.31,3.2710000000000004,,,,,,
01/01/1775,4.261,3.435,,,,,,
01/02/1775,6.4270000000000005,3.139,,,,,,
01/03/1775,7.758999999999999,2.394,,,,,,
01/04/1775,7.951999999999999,1.538,,,,,,
01/05/1775,11.399,1.846,,,,,,
01/06/1775,12.314,2.805,,,,,,
01/07/1775,14.719,1.058,,,,,,
01/08/1775,14.435,1.093,,,,,,
01/09/1775,11.095999999999998,1.459,,,,,,
01/10/1775,10.372,2.116,,,,,,
01/11/1775,8.179,4.56,,,,,,
01/12/1775,1.2839999999999998,2.404,,,,,,
01/01/1776,-0.8059999999999999,4.467,,,,,,
01/02/1776,4.825,3.762,,,,,,
01/03/1776,4.652,2.388,,,,,,
01/04/1776,7.439999999999999,1.404,,,,,,
01/05/1776,10.475,5.237,,,,,,
01/06/1776,14.564,2.4330000000000003,,,,,,
01/07/1776,14.108,1.3030000000000002,,,,,,
01/08/1776,14.837,3.437,,,,,,
01/09/1776,10.602,2.065,,,,,,
01/10/1776,8.059999999999999,2.152,,,,,,
01/11/1776,5.87,2.7880000000000003,,,,,,
01/12/1776,5.021,2.934,,,,,,
01/01/1777,6.021000000000001,3.11,,,,,,
01/02/1777,4.9190000000000005,5.268,,,,,,
01/03/1777,5.572,2.307,,,,,,
01/04/1777,6.361999999999999,1.401,,,,,,
01/05/1777,11.389,2.117,,,,,,
01/06/1777,12.323,1.607,,,,,,
01/07/1777,12.743,1.078,,,,,,
01/08/1777,12.815,1.269,,,,,,
01/09/1777,11.379,2.692,,,,,,
01/10/1777,6.956,3.464,,,,,,
01/11/1777,5.529,2.276,,,,,,
01/12/1777,3.067,2.725,,,,,,
01/01/1778,2.521,3.544,,,,,,
01/02/1778,6.093999999999999,3.569,,,,,,
01/03/1778,4.604,4.151,,,,,,
01/04/1778,10.983999999999998,1.69,,,,,,
01/05/1778,11.286,1.673,,,,,,
01/06/1778,11.731,3.975,,,,,,
01/07/1778,15.037,2.216,,,,,,
01/08/1778,12.869000000000002,2.658,,,,,,
01/09/1778,13.377,2.35,,,,,,
01/10/1778,8.049,3.608,,,,,,
01/11/1778,3.854,2.675,,,,,,
01/12/1778,2.101,2.361,,,,,,
01/01/1779,1.4700000000000002,2.802,,,,,,
01/02/1779,5.14,4.959,,,,,,
01/03/1779,6.9670000000000005,3.017,,,,,,
01/04/1779,9.965,3.0860000000000003,,,,,,
01/05/1779,14.18,1.863,,,,,,
01/06/1779,12.547,2.14,,,,,,
01/07/1779,13.659,1.858,,,,,,
01/08/1779,13.799,1.4780000000000002,,,,,,
01/09/1779,12.683,1.809,,,,,,
01/10/1779,9.35,1.544,,,,,,
01/11/1779,5.7700000000000005,2.258,,,,,,
01/12/1779,2.269,3.256,,,,,,
01/01/1780,2.515,3.438,,,,,,
01/02/1780,4.08,3.179,,,,,,
01/03/1780,5.724,2.381,,,,,,
01/04/1780,13.732,3.0580000000000003,,,,,,
01/05/1780,15.756999999999998,1.419,,,,,,
01/06/1780,14.747,2.9810000000000003,,,,,,
01/07/1780,16.183,1.3,,,,,,
01/08/1780,12.947,3.131,,,,,,
01/09/1780,8.844,2.104,,,,,,
01/10/1780,9.376,1.873,,,,,,
01/11/1780,6.706,2.596,,,,,,
01/12/1780,2.584,3.5580000000000003,,,,,,
01/01/1781,2.401,4.948,,,,,,
01/02/1781,2.267,3.5810000000000004,,,,,,
01/03/1781,4.772,2.443,,,,,,
01/04/1781,6.922999999999999,2.076,,,,,,
01/05/1781,11.102,1.838,,,,,,
01/06/1781,11.678,1.385,,,,,,
01/07/1781,14.285,1.696,,,,,,
01/08/1781,14.140999999999998,1.004,,,,,,
01/09/1781,10.303999999999998,3.69,,,,,,
01/10/1781,8.546999999999999,1.2819999999999998,,,,,,
01/11/1781,7.523,1.676,,,,,,
01/12/1781,3.2880000000000003,4.427,,,,,,
01/01/1782,0.3410000000000002,3.547,,,,,,
01/02/1782,0.6389999999999998,4.862,,,,,,
01/03/1782,2.565,2.221,,,,,,
01/04/1782,8.617999999999999,2.154,,,,,,
01/05/1782,10.989999999999998,1.474,,,,,,
01/06/1782,13.800999999999998,1.517,,,,,,
01/07/1782,13.925,2.96,,,,,,
01/08/1782,15.683,2.487,,,,,,
01/09/1782,12.398,1.7280000000000002,,,,,,
01/10/1782,8.978,1.826,,,,,,
01/11/1782,4.956,2.4730000000000003,,,,,,
01/12/1782,1.921,3.358,,,,,,
01/01/1783,-1.4310000000000005,5.292999999999998,,,,,,
01/02/1783,5.2940000000000005,3.683,,,,,,
01/03/1783,4.799,2.597,,,,,,
01/04/1783,8.574,1.564,,,,,,
01/05/1783,11.819,2.906,,,,,,
01/06/1783,14.34,1.541,,,,,,
01/07/1783,13.069,1.3430000000000002,,,,,,
01/08/1783,13.970999999999998,1.6130000000000002,,,,,,
01/09/1783,9.957999999999998,1.439,,,,,,
01/10/1783,7.356999999999998,2.6210000000000004,,,,,,
01/11/1783,2.196,2.2,,,,,,
01/12/1783,2.224,3.133,,,,,,
01/01/1784,2.596,3.347,,,,,,
01/02/1784,0.989,2.842,,,,,,
01/03/1784,3.919,3.258,,,,,,
01/04/1784,8.142000000000001,1.272,,,,,,
01/05/1784,10.013,1.538,,,,,,
01/06/1784,12.803,1.8,,,,,,
01/07/1784,14.947,1.803,,,,,,
01/08/1784,15.861,2.595,,,,,,
01/09/1784,10.265999999999998,1.068,,,,,,
01/10/1784,6.835999999999999,1.68,,,,,,
01/11/1784,4.557,2.522,,,,,,
01/12/1784,3.415,3.343,,,,,,
01/01/1785,0.865,2.754,,,,,,
01/02/1785,1.045,2.408,,,,,,
01/03/1785,2.289,4.215,,,,,,
01/04/1785,6.379,1.45,,,,,,
01/05/1785,9.853,2.088,,,,,,
01/06/1785,13.744000000000002,2.653,,,,,,
01/07/1785,14.468,2.215,,,,,,
01/08/1785,14.466,2.046,,,,,,
01/09/1785,10.497,1.143,,,,,,
01/10/1785,7.350999999999999,1.732,,,,,,
01/11/1785,5.526,2.261,,,,,,
01/12/1785,1.873,1.909,,,,,,
01/01/1786,0.7630000000000001,2.436,,,,,,
01/02/1786,2.657,2.463,,,,,,
01/03/1786,5.648,2.27,,,,,,
01/04/1786,9.318,3.079,,,,,,
01/05/1786,11.582999999999998,2.387,,,,,,
01/06/1786,13.035,1.295,,,,,,
01/07/1786,15.294,2.311,,,,,,
01/08/1786,14.455,3.35,,,,,,
01/09/1786,12.158,2.9330000000000003,,,,,,
01/10/1786,7.712000000000001,1.4380000000000002,,,,,,
01/11/1786,5.7410000000000005,3.837,,,,,,
01/12/1786,0.7339999999999995,2.506,,,,,,
01/01/1787,2.845,3.176,,,,,,
01/02/1787,2.563,2.842,,,,,,
01/03/1787,4.698,3.1260000000000003,,,,,,
01/04/1787,7.7719999999999985,1.5219999999999998,,,,,,
01/05/1787,11.403,1.364,,,,,,
01/06/1787,14.369000000000002,2.099,,,,,,
01/07/1787,13.451,2.425,,,,,,
01/08/1787,13.555,1.4369999999999998,,,,,,
01/09/1787,10.357,1.5630000000000002,,,,,,
01/10/1787,7.7719999999999985,3.312,,,,,,
01/11/1787,5.801,2.844,,,,,,
01/12/1787,1.7959999999999998,2.631,,,,,,
01/01/1788,0.7350000000000001,2.9930000000000003,,,,,,
01/02/1788,3.5810000000000004,4.039,,,,,,
01/03/1788,5.336,3.057,,,,,,
01/04/1788,8.713999999999999,2.657,,,,,,
01/05/1788,10.428,1.336,,,,,,
01/06/1788,13.808,1.262,,,,,,
01/07/1788,16.468,2.9160000000000004,,,,,,
01/08/1788,13.885,1.5319999999999998,,,,,,
01/09/1788,11.699000000000002,1.261,,,,,,
01/10/1788,9.349,2.132,,,,,,
01/11/1788,6.111000000000001,1.682,,,,,,
01/12/1788,1.2519999999999998,5.827000000000001,,,,,,
01/01/1789,3.706,4.039,,,,,,
01/02/1789,1.675,2.576,,,,,,
01/03/1789,3.989,1.595,,,,,,
01/04/1789,7.693999999999999,1.507,,,,,,
01/05/1789,11.666,2.228,,,,,,
01/06/1789,13.507,1.042,,,,,,
01/07/1789,15.462,1.922,,,,,,
01/08/1789,13.84,1.298,,,,,,
01/09/1789,12.018,1.189,,,,,,
01/10/1789,7.39,1.836,,,,,,
01/11/1789,5.964,1.586,,,,,,
01/12/1789,3.099,1.606,,,,,,
01/01/1790,2.444,1.94,,,,,,
01/02/1790,2.9730000000000003,2.5980000000000003,,,,,,
01/03/1790,4.582,1.914,,,,,,
01/04/1790,6.052999999999999,2.314,,,,,,
01/05/1790,10.357,1.057,,,,,,
01/06/1790,13.746,1.226,,,,,,
01/07/1790,13.812,1.6569999999999998,,,,,,
01/08/1790,13.925,1.269,,,,,,
01/09/1790,11.233,1.524,,,,,,
01/10/1790,8.577,1.297,,,,,,
01/11/1790,5.331,1.565,,,,,,
01/12/1790,2.755,2.899,,,,,,
01/01/1791,1.493,5.035,,,,,,
01/02/1791,3.466,2.44,,,,,,
01/03/1791,4.79,2.249,,,,,,
01/04/1791,9.127,1.617,,,,,,
01/05/1791,9.859,1.256,,,,,,
01/06/1791,13.231,1.314,,,,,,
01/07/1791,13.612,1.0590000000000002,,,,,,
01/08/1791,13.744000000000002,0.807,,,,,,
01/09/1791,11.677,1.248,,,,,,
01/10/1791,8.08,1.019,,,,,,
01/11/1791,6.206,1.793,,,,,,
01/12/1791,3.526,1.568,,,,,,
01/01/1792,0.3480000000000003,2.516,,,,,,
01/02/1792,3.62,2.434,,,,,,
01/03/1792,4.428999999999999,1.692,,,,,,
01/04/1792,7.994,1.368,,,,,,
01/05/1792,11.321,1.101,,,,,,
01/06/1792,13.581,1.406,,,,,,
01/07/1792,14.212,1.362,,,,,,
01/08/1792,12.281,1.395,,,,,,
01/09/1792,12.491,1.072,,,,,,
01/10/1792,8.097000000000001,1.39,,,,,,
01/11/1792,5.306,2.145,,,,,,
01/12/1792,3.388,2.524,,,,,,
01/01/1793,0.5209999999999999,2.674,,,,,,
01/02/1793,4.745,2.624,,,,,,
01/03/1793,5.042,2.145,,,,,,
01/04/1793,8.642999999999999,1.904,,,,,,
01/05/1793,11.059,1.544,,,,,,
01/06/1793,13.146,1.91,,,,,,
01/07/1793,14.336,2.864,,,,,,
01/08/1793,13.16,1.746,,,,,,
01/09/1793,12.002,2.325,,,,,,
01/10/1793,8.392999999999999,1.661,,,,,,
01/11/1793,5.666,3.635,,,,,,
01/12/1793,2.037,2.261,,,,,,
01/01/1794,3.71,3.869,,,,,,
01/02/1794,3.605,5.138,,,,,,
01/03/1794,5.696000000000001,1.805,,,,,,
01/04/1794,9.367,1.219,,,,,,
01/05/1794,12.376,1.063,,,,,,
01/06/1794,11.994000000000002,1.159,,,,,,
01/07/1794,12.874,1.283,,,,,,
01/08/1794,13.484000000000002,0.989,,,,,,
01/09/1794,11.896,1.57,,,,,,
01/10/1794,9.108,1.29,,,,,,
01/11/1794,5.284,2.087,,,,,,
01/12/1794,2.918,2.276,,,,,,
01/01/1795,2.7310000000000003,2.506,,,,,,
01/02/1795,4.39,3.3360000000000003,,,,,,
01/03/1795,5.709,1.959,,,,,,
01/04/1795,8.918,1.88,,,,,,
01/05/1795,11.029000000000002,2.444,,,,,,
01/06/1795,13.293,0.987,,,,,,
01/07/1795,14.295,2.165,,,,,,
01/08/1795,13.14,1.135,,,,,,
01/09/1795,11.133,1.3969999999999998,,,,,,
01/10/1795,7.786,2.202,,,,,,
01/11/1795,5.207000000000001,2.269,,,,,,
01/12/1795,2.573,2.24,,,,,,
01/01/1796,2.8440000000000003,2.096,,,,,,
01/02/1796,2.736,2.019,,,,,,
01/03/1796,3.477,2.044,,,,,,
01/04/1796,7.773,1.16,,,,,,
01/05/1796,11.273,0.955,,,,,,
01/06/1796,14.216,2.923,,,,,,
01/07/1796,14.314,0.964,,,,,,
01/08/1796,14.722,2.777,,,,,,
01/09/1796,12.012,1.919,,,,,,
01/10/1796,8.924,1.283,,,,,,
01/11/1796,5.702000000000001,1.456,,,,,,
01/12/1796,1.259,3.452,,,,,,
01/01/1797,4.396,2.397,,,,,,
01/02/1797,4.957,2.564,,,,,,
01/03/1797,4.056,2.948,,,,,,
01/04/1797,6.6,3.3110000000000004,,,,,,
01/05/1797,10.417,2.432,,,,,,
01/06/1797,13.852,1.014,,,,,,
01/07/1797,14.107,1.6130000000000002,,,,,,
01/08/1797,14.04,1.713,,,,,,
01/09/1797,12.459,1.7719999999999998,,,,,,
01/10/1797,9.191,1.332,,,,,,
01/11/1797,4.777,1.727,,,,,,
01/12/1797,3.275,1.725,,,,,,
01/01/1798,2.6790000000000003,1.967,,,,,,
01/02/1798,3.213,2.0340000000000003,,,,,,
01/03/1798,7.007999999999999,2.537,,,,,,
01/04/1798,8.083,1.85,,,,,,
01/05/1798,11.768999999999998,2.029,,,,,,
01/06/1798,13.246,0.7929999999999999,,,,,,
01/07/1798,14.951,1.281,,,,,,
01/08/1798,14.754,2.047,,,,,,
01/09/1798,11.627,1.6869999999999998,,,,,,
01/10/1798,8.655,1.024,,,,,,
01/11/1798,6.031000000000001,2.629,,,,,,
01/12/1798,2.027,2.962,,,,,,
01/01/1799,1.923,2.229,,,,,,
01/02/1799,2.0780000000000003,2.891,,,,,,
01/03/1799,3.986,1.5619999999999998,,,,,,
01/04/1799,8.786,2.533,,,,,,
01/05/1799,11.353,1.545,,,,,,
01/06/1799,13.68,0.873,,,,,,
01/07/1799,14.869000000000002,1.308,,,,,,
01/08/1799,14.086,1.083,,,,,,
01/09/1799,12.311,1.378,,,,,,
01/10/1799,9.606,1.369,,,,,,
01/11/1799,5.904,1.894,,,,,,
01/12/1799,3.487,2.196,,,,,,
01/01/1800,2.815,1.844,,,,,,
01/02/1800,3.634,2.6,,,,,,
01/03/1800,4.452,2.613,,,,,,
01/04/1800,9.125,2.168,,,,,,
01/05/1800,11.097,1.725,,,,,,
01/06/1800,13.606,1.169,,,,,,
01/07/1800,13.763,0.933,,,,,,
01/08/1800,13.619000000000002,1.4169999999999998,,,,,,
01/09/1800,10.795,1.62,,,,,,
01/10/1800,9.469,1.643,,,,,,
