dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1859-12-01,26.221999999999998,1.587,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-01-01,26.531999999999996,1.372,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-02-01,27.19,1.295,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-03-01,26.825,1.278,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-05-01,26.11,1.158,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-06-01,25.404,1.196,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-07-01,24.275,1.217,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-08-01,23.96,1.2819999999999998,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-09-01,24.52,1.175,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-10-01,25.158,1.123,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-11-01,25.324,1.146,Abidjan,Côte D'Ivoire,5.63N,3.23W
1860-12-01,24.81,1.329,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-01-01,25.189,1.648,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-02-01,26.443,1.402,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-03-01,27.542,1.224,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-04-01,27.034000000000002,1.288,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-05-01,25.984,1.211,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-06-01,25.176,1.426,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-07-01,24.084,1.317,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-08-01,23.648000000000003,1.253,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-11-01,25.761999999999997,1.476,Abidjan,Côte D'Ivoire,5.63N,3.23W
1861-12-01,25.855999999999998,1.656,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-01-01,25.427,1.396,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-02-01,26.064,1.339,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-03-01,27.177,1.527,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-04-01,26.656,1.554,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-06-01,24.912,1.435,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-07-01,24.211,1.376,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-08-01,23.680999999999997,1.509,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-09-01,23.987,1.436,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-10-01,24.933000000000003,1.367,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1862-12-01,24.686999999999998,1.4480000000000002,Abidjan,Côte D'Ivoire,5.63N,3.23W
1863-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1863-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1863-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1863-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1863-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1863-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1863-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1863-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1863-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1863-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1863-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1863-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1864-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1864-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1864-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1864-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1864-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1864-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1864-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1864-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1864-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1864-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1864-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1864-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1865-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1865-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1865-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1865-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1865-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1865-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1865-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1865-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1865-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1865-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1865-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1865-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1866-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1866-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1866-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1866-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1866-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1866-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1866-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1866-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1866-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1866-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1866-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1866-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1867-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1867-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1867-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1867-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1867-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1867-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1867-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1867-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1867-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1867-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1867-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1867-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1868-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1868-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1868-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1868-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1868-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1868-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1868-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1868-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1868-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1868-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1868-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1868-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1869-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1869-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1869-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1869-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1869-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1869-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1869-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1869-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1869-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1869-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1869-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1869-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1870-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1870-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1870-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1870-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1870-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1870-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1870-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1870-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1870-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1870-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1870-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1870-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1871-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1871-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1871-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1871-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1871-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1871-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1871-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1871-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1871-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1871-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1871-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1871-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1872-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1872-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1872-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1872-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1872-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1872-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1872-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1872-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1872-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1872-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1872-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1872-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-03-01,27.658,1.245,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-05-01,26.526,1.1740000000000002,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-06-01,25.815,1.271,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-07-01,24.645,1.133,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-08-01,24.116,1.06,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-09-01,24.689,1.3259999999999998,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-10-01,25.158,1.006,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1873-12-01,26.340999999999998,1.074,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-01-01,26.500999999999998,1.629,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-02-01,27.216,1.18,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-03-01,27.022,1.4,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-04-01,27.298,1.014,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-05-01,25.925,1.15,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-07-01,23.974,1.022,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-08-01,23.546,1.145,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-09-01,24.491,0.924,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-10-01,25.103,1.304,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-11-01,25.643,1.32,Abidjan,Côte D'Ivoire,5.63N,3.23W
1874-12-01,25.781,1.356,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-01-01,25.566000000000006,1.213,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-02-01,26.84,1.018,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-03-01,27.147,0.931,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-04-01,26.767,0.929,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-05-01,25.889,0.809,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-06-01,24.916,0.893,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-07-01,23.711,1.3,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-08-01,23.32,0.989,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-09-01,23.906999999999996,0.823,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-10-01,24.725,0.8740000000000001,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-11-01,25.026,0.7879999999999999,Abidjan,Côte D'Ivoire,5.63N,3.23W
1875-12-01,25.16,1.11,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-01-01,25.608,1.357,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-02-01,26.391,1.608,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-03-01,27.006,1.453,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-04-01,26.385,2.202,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-05-01,25.593,0.871,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-06-01,24.919,1.183,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-07-01,23.705,1.64,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-08-01,23.015,1.5830000000000002,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-09-01,23.644,1.324,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-10-01,24.959,1.228,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-11-01,25.252,1.288,Abidjan,Côte D'Ivoire,5.63N,3.23W
1876-12-01,25.253,1.147,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-01-01,25.845,1.636,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-02-01,26.925,1.555,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-03-01,27.607,1.386,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-04-01,26.978,0.991,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-05-01,26.21,0.769,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-06-01,25.217,1.513,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-07-01,24.578000000000003,0.7929999999999999,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-08-01,24.14,0.916,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-09-01,24.569000000000003,0.747,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-10-01,25.363000000000003,0.858,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-11-01,26.413,0.938,Abidjan,Côte D'Ivoire,5.63N,3.23W
1877-12-01,26.313000000000002,2.066,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-01-01,26.433000000000003,1.293,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-02-01,27.785,1.404,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-03-01,28.674,1.693,Abidjan,Côte D'Ivoire,5.63N,3.23W
1878-04-01,27.558000000000003,1.388,Abidjan,Côte D'Ivoire,5.63N,3.23W
