dt;AverageTemperature;AverageTemperatureUncertainty;Country
09/1755;0.018059000000000002;1.936;Albania
10/1755;0.012785999999999999;5.872999999999998;Albania
11/1755;8.471;5.5120000000000005;Albania
12/1755;4.07;6.473;Albania
01/1756;4.3180000000000005;3.616;Albania
02/1756;6.885;3.63;Albania
03/1756;7.87;5.785;Albania
04/1756;0.012368;2.3680000000000003;Albania
05/1756;0.017654;4.36;Albania
06/1756;0.022082;3.232;Albania
07/1756;0.022508000000000004;2.437;Albania
08/1756;0.021505;6.807;Albania
09/1756;0.019499;2.7880000000000003;Albania
10/1756;0.012208;2.5580000000000003;Albania
11/1756;6.519;3.307;Albania
12/1756;2.895;2.481;Albania
01/1757;0.2829999999999999;2.559;Albania
02/1757;5.225;3.801;Albania
03/1757;7.662999999999999;3.559;Albania
04/1757;0.011533;4.833;Albania
05/1757;0.01752;3.615;Albania
06/1757;0.023538;3.848;Albania
07/1757;0.025843000000000005;5.336;Albania
08/1757;0.02305;3.419;Albania
09/1757;0.01891;5.965;Albania
10/1757;0.01048;7.926;Albania
11/1757;6.9270000000000005;3.3360000000000003;Albania
12/1757;1.7919999999999998;8.395;Albania
01/1758;-1.261;2.322;Albania
02/1758;3.155;2.932;Albania
03/1758;7.271;3.978;Albania
04/1758;0.010412000000000001;6.847;Albania
05/1758;0.015241;4.725;Albania
06/1758;0.020741;4.333;Albania
07/1758;0.021463999999999997;5.984;Albania
08/1758;0.020542;5.269;Albania
09/1758;0.016234;2.96;Albania
10/1758;9.95;9.15;Albania
11/1758;8.892999999999997;6.042999999999998;Albania
12/1758;4.69;4.829;Albania
01/1759;5.132999999999999;4.9910000000000005;Albania
02/1759;5.457000000000001;6.473;Albania
03/1759;7.485;3.136;Albania
04/1759;9.986;5.189;Albania
05/1759;0.015347;3.055;Albania
06/1759;0.020499;4.573;Albania
07/1759;0.022484999999999998;3.964;Albania
08/1759;0.022689;5.457000000000002;Albania
09/1759;0.019421;4.937;Albania
10/1759;0.013823;3.946;Albania
11/1759;6.023999999999999;4.9460000000000015;Albania
12/1759;1.5660000000000005;5.907;Albania
01/1760;1.4419999999999995;3.766;Albania
02/1760;3.077;2.313;Albania
03/1760;5.28;7.334;Albania
04/1760;0.011986;5.104;Albania
05/1760;0.01564;3.5780000000000003;Albania
06/1760;0.019278;2.8;Albania
07/1760;0.021998;3.358;Albania
08/1760;0.022341999999999997;5.803;Albania
09/1760;0.018947;4.223;Albania
10/1760;0.013064;4.129;Albania
11/1760;7.896;2.702;Albania
12/1760;4.91;3.063;Albania
01/1761;1.1630000000000005;4.993;Albania
02/1761;5.21;3.415;Albania
03/1761;9.094;2.117;Albania
04/1761;9.921;3.971;Albania
05/1761;0.017859000000000003;4.463;Albania
06/1761;0.022556999999999997;2.358;Albania
07/1761;0.025669;5.311;Albania
08/1761;0.022848000000000004;2.935;Albania
09/1761;0.019475000000000003;3.509;Albania
10/1761;0.012712999999999999;3.892;Albania
11/1761;7.021;2.519;Albania
12/1761;0.9850000000000004;2.281;Albania
01/1762;5.73;2.224;Albania
02/1762;5.524;6.937;Albania
03/1762;5.569;4.232;Albania
04/1762;0.012742000000000002;3.332;Albania
05/1762;0.016145;5.471;Albania
06/1762;0.021;5.222;Albania
07/1762;0.023825;2.797;Albania
08/1762;0.021435;2.814;Albania
09/1762;0.017863;6.464;Albania
10/1762;0.011791000000000001;3.4930000000000003;Albania
11/1762;8.558;2.358;Albania
12/1762;2.2210000000000005;5.17;Albania
01/1763;0.9980000000000002;5.466;Albania
02/1763;5.222;3.997;Albania
03/1763;5.519;6.098;Albania
04/1763;0.010968;2.303;Albania
05/1763;0.014882;2.8310000000000004;Albania
06/1763;0.019177000000000003;4.9510000000000005;Albania
07/1763;0.023834;2.612;Albania
08/1763;0.022803;3.0660000000000003;Albania
09/1763;0.017369999999999993;2.77;Albania
10/1763;0.010587999999999998;5.276;Albania
11/1763;7.266999999999999;3.245;Albania
12/1763;5.67;2.376;Albania
01/1764;3.755;4.524;Albania
02/1764;7.49;2.939;Albania
03/1764;7.062;3.283;Albania
04/1764;0.01039;4.077;Albania
05/1764;0.016875;6.268;Albania
06/1764;0.019923;2.9560000000000004;Albania
07/1764;0.021553999999999997;4.574;Albania
08/1764;0.020683000000000003;2.193;Albania
09/1764;0.017581;4.544;Albania
10/1764;0.013224999999999999;3.003;Albania
11/1764;8.746;3.315;Albania
12/1764;7.086;3.716;Albania
01/1765;6.273;8.397;Albania
02/1765;4.045;3.769;Albania
03/1765;8.946;2.9960000000000004;Albania
04/1765;0.0121;2.215;Albania
05/1765;0.015313;2.704;Albania
06/1765;0.019257;3.017;Albania
07/1765;0.020559;3.998;Albania
08/1765;0.021603;2.633;Albania
09/1765;0.018283999999999998;2.176;Albania
10/1765;0.013275;1.945;Albania
11/1765;9.218;3.309;Albania
12/1765;3.974;2.52;Albania
01/1766;-0.4589999999999996;6.04;Albania
02/1766;4.099;3.831;Albania
03/1766;8.027999999999999;2.674;Albania
04/1766;0.011833999999999999;3.217;Albania
05/1766;0.016706;2.688;Albania
06/1766;0.020943;5.926;Albania
07/1766;0.021183000000000004;3.669;Albania
08/1766;0.022213;3.047;Albania
09/1766;0.019004999999999998;3.108;Albania
10/1766;0.012843;2.464;Albania
11/1766;0.010865999999999999;4.378;Albania
12/1766;3.956;3.4330000000000003;Albania
01/1767;-1.974;5.742999999999999;Albania
02/1767;4.989;6.768;Albania
03/1767;8.445;6.8370000000000015;Albania
04/1767;9.507;5.292000000000002;Albania
05/1767;0.015029000000000002;2.594;Albania
06/1767;0.020207;3.034;Albania
07/1767;0.02271;3.625;Albania
08/1767;0.022209;2.2880000000000003;Albania
09/1767;0.018097000000000002;3.53;Albania
10/1767;0.013728000000000002;2.799;Albania
11/1767;0.010456;6.848;Albania
12/1767;2.6330000000000005;4.573;Albania
01/1768;-1.117;9.984;Albania
02/1768;1.5810000000000004;6.944;Albania
03/1768;5.311999999999999;5.075;Albania
04/1768;0.011029000000000002;3.536;Albania
05/1768;0.014681;2.61;Albania
06/1768;0.018803;4.256;Albania
07/1768;0.022428999999999998;4.19;Albania
08/1768;0.021616;2.047;Albania
09/1768;0.017625999999999996;4.211;Albania
10/1768;0.012263999999999999;4.909;Albania
11/1768;8.323;4.637;Albania
12/1768;3.5610000000000004;6.015;Albania
01/1769;4.24;5.13;Albania
02/1769;3.579;3.485;Albania
03/1769;6.773;4.975;Albania
04/1769;0.011942;5.417999999999998;Albania
05/1769;0.016619;7.303;Albania
06/1769;0.02171;4.079;Albania
07/1769;0.022427;4.865;Albania
08/1769;0.021985;4.682;Albania
09/1769;0.018678999999999998;2.122;Albania
10/1769;9.603000000000002;2.842;Albania
11/1769;8.022;2.076;Albania
12/1769;3.1630000000000003;3.893;Albania
01/1770;2.24;6.081;Albania
02/1770;5.022;3.076;Albania
03/1770;5.127999999999999;3.755;Albania
04/1770;0.01201;0.010369000000000001;Albania
05/1770;0.015295999999999999;2.233;Albania
06/1770;0.019631;3.792;Albania
07/1770;0.020456;7.017;Albania
08/1770;0.020763;4.128;Albania
09/1770;0.01878;2.685;Albania
10/1770;0.01359;4.395;Albania
11/1770;9.588;5.812;Albania
12/1770;6.013;8.168;Albania
01/1771;5.803;6.596;Albania
02/1771;1.605;3.931;Albania
03/1771;5.6080000000000005;6.738;Albania
04/1771;8.642999999999999;6.198;Albania
05/1771;0.016380000000000006;9.187;Albania
06/1771;0.020061;2.905;Albania
07/1771;0.022276;2.124;Albania
08/1771;0.022701;2.614;Albania
09/1771;0.018897999999999998;2.294;Albania
10/1771;0.014321000000000002;2.297;Albania
11/1771;6.797999999999999;4.262;Albania
12/1771;5.356;3.38;Albania
01/1772;4.43;6.978;Albania
02/1772;5.827999999999999;8.491;Albania
03/1772;8.347000000000001;3.728;Albania
04/1772;0.012519;3.731;Albania
05/1772;0.014839999999999999;2.13;Albania
06/1772;0.020824000000000002;4.25;Albania
07/1772;0.023464;3.043;Albania
08/1772;0.02271;4.046;Albania
09/1772;0.018715;3.292;Albania
10/1772;0.014316;2.375;Albania
11/1772;0.011343;4.968999999999999;Albania
12/1772;7.2010000000000005;3.314;Albania
01/1773;2.565;2.926;Albania
02/1773;3.153;3.047;Albania
03/1773;6.3020000000000005;2.269;Albania
04/1773;0.011755000000000002;3.4;Albania
05/1773;0.01751;3.299;Albania
06/1773;0.018982000000000006;2.151;Albania
07/1773;0.021421;2.296;Albania
08/1773;0.021102;2.335;Albania
09/1773;0.019726;2.443;Albania
10/1773;0.01467;2.238;Albania
11/1773;7.729999999999999;5.766;Albania
12/1773;7.4;4.905;Albania
01/1774;2.353;7.148;Albania
02/1774;5.337000000000001;6.4910000000000005;Albania
03/1774;8.355;2.821;Albania
04/1774;0.013502;4.791;Albania
05/1774;0.01831600000000001;2.317;Albania
06/1774;0.021664000000000003;6.006;Albania
07/1774;0.023929;6.252999999999999;Albania
08/1774;0.023313;2.758;Albania
09/1774;0.018257000000000002;2.8710000000000004;Albania
10/1774;0.012615;4.141;Albania
11/1774;5.542000000000001;6.425;Albania
12/1774;1.5730000000000004;4.763999999999999;Albania
01/1775;3.431;4.708;Albania
02/1775;7.17;4.601;Albania
03/1775;9.519;2.567;Albania
04/1775;0.010334;1.924;Albania
05/1775;0.014898;3.279;Albania
06/1775;0.020079;4.636;Albania
07/1775;0.022853000000000002;2.125;Albania
08/1775;0.023356000000000002;1.929;Albania
09/1775;0.018591999999999997;3.036;Albania
10/1775;0.014789;3.009;Albania
11/1775;0.010622999999999999;6.4110000000000005;Albania
12/1775;3.017;2.114;Albania
01/1776;0.8689999999999998;5.617999999999999;Albania
02/1776;5.742999999999999;3.897;Albania
03/1776;8.152999999999999;3.4330000000000003;Albania
04/1776;0.010891999999999999;1.946;Albania
05/1776;0.014753;3.791;Albania
06/1776;0.020076;3.5780000000000003;Albania
07/1776;0.021892;2.424;Albania
08/1776;0.022850000000000002;4.221;Albania
09/1776;0.017319;2.885;Albania
10/1776;0.012285;3.1;Albania
11/1776;7.8359999999999985;5.246;Albania
12/1776;3.803;3.615;Albania
01/1777;3.192;3.495;Albania
02/1777;4.895;3.813;Albania
03/1777;8.546;2.225;Albania
04/1777;9.565;2.1;Albania
05/1777;0.0157;3.422;Albania
06/1777;0.01933;2.845;Albania
07/1777;0.020542;2.209;Albania
08/1777;0.021841000000000003;1.982;Albania
09/1777;0.017870999999999998;4.41;Albania
10/1777;0.012166999999999999;4.543;Albania
11/1777;9.056;2.474;Albania
12/1777;3.937;2.904;Albania
01/1778;5.224;4.2780000000000005;Albania
02/1778;5.011;3.572;Albania
03/1778;7.428999999999999;4.296;Albania
04/1778;0.013999000000000001;2.007;Albania
05/1778;0.016594;2.982;Albania
06/1778;0.018895000000000002;5.598;Albania
07/1778;0.023514;2.001;Albania
08/1778;0.021934000000000002;2.895;Albania
09/1778;0.018561;1.889;Albania
10/1778;0.012865;5.305;Albania
11/1778;7.989;4.441;Albania
12/1778;5.801;3.052;Albania
01/1779;0.8849999999999998;3.275;Albania
02/1779;6.605;7.433;Albania
03/1779;8.655;3.47;Albania
04/1779;0.013627;3.873;Albania
05/1779;0.018684000000000003;2.219;Albania
06/1779;0.018057;3.4330000000000003;Albania
07/1779;0.020888;2.642;Albania
08/1779;0.021313;3.576;Albania
09/1779;0.019222000000000003;3.005;Albania
10/1779;0.014278;3.472;Albania
11/1779;9.01;2.401;Albania
12/1779;6.956;8.222000000000001;Albania
01/1780;2.61;5.247999999999998;Albania
02/1780;3.012;3.42;Albania
03/1780;9.092;1.982;Albania
04/1780;0.012985;2.73;Albania
05/1780;0.018909;2.855;Albania
06/1780;0.020934;4.894;Albania
07/1780;0.022767;2.675;Albania
08/1780;0.020916;4.949;Albania
09/1780;0.016399999999999998;3.934;Albania
10/1780;0.014747;2.398;Albania
11/1780;9.614;2.447;Albania
12/1780;3.035;2.322;Albania
01/1781;2.725;6.928999999999999;Albania
02/1781;3.892;9.827;Albania
03/1781;7.635;2.066;Albania
04/1781;0.011686;2.758;Albania
05/1781;0.016978999999999998;3.127;Albania
06/1781;0.019973000000000008;2.079;Albania
07/1781;0.023213;3.236;Albania
08/1781;0.023827;1.874;Albania
09/1781;0.019104;5.632999999999999;Albania
10/1781;0.012026;1.725;Albania
11/1781;0.010186;2.754;Albania
12/1781;4.747;6.146;Albania
01/1782;2.416;4.405;Albania
02/1782;0.6180000000000003;7.8889999999999985;Albania
03/1782;6.1690000000000005;2.297;Albania
04/1782;0.011083;4.287;Albania
05/1782;0.01554;3.619;Albania
06/1782;0.020874;3.172;Albania
07/1782;0.023861;5.2170000000000005;Albania
08/1782;0.023851;3.444;Albania
09/1782;0.018388;3.375;Albania
10/1782;0.012778000000000001;4.218999999999999;Albania
11/1782;6.996;7.69;Albania
12/1782;3.662;6.086;Albania
01/1783;2.528;7.995;Albania
02/1783;7.334;4.695;Albania
03/1783;7.189;2.629;Albania
04/1783;0.011220999999999998;2.1590000000000003;Albania
05/1783;0.017615000000000006;4.799;Albania
06/1783;0.020882;2.25;Albania
07/1783;0.02184;2.515;Albania
08/1783;0.022553;2.321;Albania
09/1783;0.018637;4.06;Albania
10/1783;0.013507;3.9;Albania
11/1783;6.526;2.934;Albania
12/1783;2.0500000000000003;2.934;Albania
01/1784;1.835;8.562999999999999;Albania
02/1784;1.861;7.581;Albania
03/1784;7.045;4.051;Albania
04/1784;9.952;7.612999999999999;Albania
05/1784;0.017262999999999997;2.697;Albania
06/1784;0.020541;2.425;Albania
07/1784;0.023312000000000003;4.774;Albania
08/1784;0.023983;6.808;Albania
09/1784;0.019212;4.725;Albania
10/1784;0.010886;4.295;Albania
11/1784;7.858;2.544;Albania
12/1784;4.319;3.11;Albania
01/1785;1.696;4.7;Albania
02/1785;2.523;4.243;Albania
03/1785;1.7439999999999998;3.967;Albania
04/1785;9.181;2.8280000000000003;Albania
05/1785;0.015986;4.436;Albania
06/1785;0.020031;3.967;Albania
07/1785;0.022098000000000003;3.946;Albania
08/1785;0.022594;3.661;Albania
09/1785;0.019402000000000003;2.282;Albania
10/1785;0.012323;2.966;Albania
11/1785;9.201;4.252;Albania
12/1785;4.6240000000000006;2.305;Albania
01/1786;1.778;2.719;Albania
02/1786;3.62;2.784;Albania
03/1786;8.56;5.12;Albania
04/1786;0.012348000000000001;3.886;Albania
05/1786;0.015914;3.853;Albania
06/1786;0.019936;2.048;Albania
07/1786;0.022390999999999998;4.238;Albania
08/1786;0.021436;6.936;Albania
09/1786;0.018611999999999997;8.094;Albania
10/1786;0.010888000000000002;2.176;Albania
11/1786;7.57;5.145;Albania
12/1786;2.656;2.592;Albania
01/1787;2.854;4.12;Albania
02/1787;4.345;4.572;Albania
03/1787;7.676;2.712;Albania
04/1787;0.010178000000000001;3.076;Albania
05/1787;0.014664;4.9430000000000005;Albania
06/1787;0.021185;4.555;Albania
07/1787;0.022497;5.904;Albania
08/1787;0.023100000000000002;4.395;Albania
09/1787;0.017348;2.892;Albania
10/1787;0.013623;6.888999999999999;Albania
11/1787;9.549;1.899;Albania
12/1787;5.942;3.892;Albania
01/1788;3.681;2.398;Albania
02/1788;4.843999999999999;6.183;Albania
03/1788;9.689;3.38;Albania
04/1788;0.011481;3.658;Albania
05/1788;0.016125;2.339;Albania
06/1788;0.021774;2.622;Albania
07/1788;0.02539;4.43;Albania
08/1788;0.021116;2.443;Albania
09/1788;0.019292999999999998;1.877;Albania
10/1788;0.013418;2.899;Albania
11/1788;7.361000000000001;2.929;Albania
12/1788;-0.2939999999999996;3.78;Albania
01/1789;2.343;5.5360000000000005;Albania
02/1789;4.274;4.006;Albania
03/1789;5.569;4.229;Albania
04/1789;0.012082;2.832;Albania
05/1789;0.018655;3.576;Albania
06/1789;0.019268999999999998;1.967;Albania
07/1789;0.023214;3.075;Albania
08/1789;0.021743;2.2430000000000003;Albania
09/1789;0.019077;1.978;Albania
10/1789;0.013488;3.352;Albania
11/1789;8.298;1.854;Albania
12/1789;2.877;2.331;Albania
01/1790;2.4930000000000003;4.013999999999999;Albania
02/1790;5.239;4.33;Albania
03/1790;6.801;2.805;Albania
04/1790;9.309;3.914;Albania
05/1790;0.016461000000000003;2.101;Albania
06/1790;0.021649;1.774;Albania
07/1790;0.021848000000000003;2.334;Albania
08/1790;0.02291;2.251;Albania
09/1790;0.018316;2.8;Albania
10/1790;0.014225;2.712;Albania
11/1790;8.748;1.838;Albania
12/1790;5.577000000000001;8.081;Albania
01/1791;5.847;6.227;Albania
02/1791;4.873;2.622;Albania
03/1791;8.306000000000001;3.609;Albania
04/1791;0.012571;2.759;Albania
05/1791;0.015619000000000001;2.176;Albania
06/1791;0.019661;2.34;Albania
07/1791;0.022161;1.843;Albania
08/1791;0.02343;1.648;Albania
09/1791;0.01757;2.398;Albania
10/1791;0.012898;1.843;Albania
11/1791;9.489;1.578;Albania
12/1791;5.593999999999999;1.5119999999999998;Albania
01/1792;3.298;4.989;Albania
02/1792;3.84;3.45;Albania
03/1792;7.372999999999999;2.324;Albania
04/1792;0.011562;2.371;Albania
05/1792;0.015982;1.73;Albania
06/1792;0.021308000000000004;1.746;Albania
07/1792;0.022707;2.099;Albania
08/1792;0.0212;2.119;Albania
09/1792;0.018622;3.016;Albania
10/1792;0.013122;2.02;Albania
11/1792;7.786;3.151;Albania
12/1792;3.942;3.305;Albania
01/1793;0.8909999999999999;4.093999999999999;Albania
02/1793;4.8580000000000005;5.126;Albania
03/1793;6.5280000000000005;4.011;Albania
04/1793;9.551;2.659;Albania
05/1793;0.014798;1.807;Albania
06/1793;0.018945;2.8960000000000004;Albania
07/1793;0.022937000000000003;3.826;Albania
08/1793;0.022282;3.672;Albania
09/1793;0.019252;2.627;Albania
10/1793;0.013679;3.395;Albania
11/1793;8.368;4.032;Albania
12/1793;5.43;3.0860000000000003;Albania
01/1794;4.593999999999999;4.905;Albania
02/1794;5.325;6.164;Albania
03/1794;7.869;2.044;Albania
04/1794;0.013736;2.41;Albania
05/1794;0.017234000000000003;2.775;Albania
06/1794;0.019767000000000003;3.723;Albania
07/1794;0.023298;5.343999999999999;Albania
08/1794;0.0217;2.68;Albania
09/1794;0.017683;2.302;Albania
10/1794;0.012807;2.435;Albania
11/1794;8.456;2.627;Albania
12/1794;3.286;2.775;Albania
01/1795;-0.3039999999999998;5.4060000000000015;Albania
02/1795;4.509;6.284;Albania
03/1795;8.155;2.258;Albania
04/1795;0.012476000000000001;2.6210000000000004;Albania
05/1795;0.016816000000000005;3.915;Albania
06/1795;0.020533000000000003;1.999;Albania
07/1795;0.021465;3.583;Albania
08/1795;0.022346;2.74;Albania
09/1795;0.017617999999999998;3.544;Albania
10/1795;0.014890999999999998;3.492;Albania
11/1795;7.385999999999999;3.049;Albania
12/1795;5.229;2.86;Albania
01/1796;5.5150000000000015;3.088;Albania
02/1796;4.847;1.4780000000000002;Albania
03/1796;4.874;2.444;Albania
04/1796;9.428;1.518;Albania
05/1796;0.016364;1.334;Albania
06/1796;0.02016200000000001;3.687;Albania
07/1796;0.02266;2.374;Albania
08/1796;0.022899;4.013;Albania
09/1796;0.019792999999999998;4.678999999999999;Albania
10/1796;0.014398999999999999;2.184;Albania
11/1796;8.517000000000001;3.373;Albania
12/1796;3.5780000000000003;3.699;Albania
01/1797;3.959;8.107000000000001;Albania
02/1797;5.284;2.674;Albania
03/1797;5.837999999999999;2.402;Albania
04/1797;0.012097;4.2;Albania
05/1797;0.017623;3.224;Albania
06/1797;0.020451;2.404;Albania
07/1797;0.023219;1.887;Albania
08/1797;0.023626;2.543;Albania
09/1797;0.019948;3.176;Albania
10/1797;0.014352;2.21;Albania
11/1797;8.605;3.28;Albania
12/1797;5.105;3.637;Albania
01/1798;3.916;2.0;Albania
02/1798;5.72;2.262;Albania
03/1798;8.732000000000001;1.969;Albania
04/1798;0.01129;2.087;Albania
05/1798;0.016059;3.309;Albania
06/1798;0.020105;1.996;Albania
07/1798;0.023153;2.716;Albania
08/1798;0.022899;4.063;Albania
09/1798;0.019530000000000002;4.121;Albania
10/1798;0.01271;2.585;Albania
11/1798;9.013;2.761;Albania
12/1798;2.225;2.478;Albania
01/1799;-0.6080000000000005;2.406;Albania
02/1799;3.252;2.642;Albania
03/1799;6.809;2.9410000000000003;Albania
04/1799;0.011774;3.939;Albania
05/1799;0.016067;1.607;Albania
06/1799;0.019449;2.999;Albania
07/1799;0.022495;2.609;Albania
08/1799;0.023091999999999998;1.42;Albania
09/1799;0.018754999999999997;2.775;Albania
10/1799;0.014880999999999998;1.975;Albania
11/1799;8.254999999999999;2.389;Albania
12/1799;2.9130000000000003;2.137;Albania
01/1800;4.172;1.915;Albania
02/1800;5.632999999999999;3.653;Albania
03/1800;4.946000000000001;2.1180000000000003;Albania
04/1800;0.015011;1.983;Albania
05/1800;0.017144000000000003;1.821;Albania
06/1800;0.019274999999999997;1.842;Albania
07/1800;0.021753;2.367;Albania
08/1800;0.022278;2.694;Albania
09/1800;0.018108;2.713;Albania
10/1800;0.013434;3.065;Albania
11/1800;9.267;2.855;Albania
12/1800;4.819;2.52;Albania
01/1801;3.656;2.266;Albania
02/1801;4.12;1.516;Albania
03/1801;9.477;2.102;Albania
04/1801;0.011966;2.526;Albania
05/1801;0.017825;2.017;Albania
06/1801;0.019449;2.244;Albania
07/1801;0.023408;2.612;Albania
08/1801;0.020967;2.277;Albania
09/1801;0.01916;2.202;Albania
10/1801;0.014913000000000001;1.579;Albania
11/1801;0.01038;1.943;Albania
12/1801;5.981;4.062;Albania
01/1802;3.655;2.263;Albania
02/1802;4.502;1.666;Albania
03/1802;8.259;2.5610000000000004;Albania
04/1802;0.011165;2.497;Albania
05/1802;0.015275;2.456;Albania
06/1802;0.021890999999999997;1.685;Albania
07/1802;0.023562;2.105;Albania
08/1802;0.023543;2.039;Albania
09/1802;0.018876999999999998;3.214;Albania
10/1802;0.01566;2.591;Albania
11/1802;9.973;2.122;Albania
12/1802;5.905;2.221;Albania
01/1803;2.124;3.039;Albania
02/1803;0.985;2.293;Albania
03/1803;6.459;3.1180000000000003;Albania
04/1803;0.013720000000000001;2.353;Albania
05/1803;0.015071000000000001;2.089;Albania
06/1803;0.020051;1.724;Albania
07/1803;0.02271;1.754;Albania
08/1803;0.02298;2.333;Albania
09/1803;0.017938;1.595;Albania
10/1803;0.012919;2.903;Albania
11/1803;9.567;2.539;Albania
12/1803;4.376;2.873;Albania
01/1804;5.022;3.125;Albania
02/1804;3.182;2.373;Albania
03/1804;5.99;2.821;Albania
04/1804;0.012033;2.525;Albania
05/1804;0.016314;1.73;Albania
06/1804;0.020606000000000003;2.136;Albania
07/1804;0.023469999999999998;2.776;Albania
08/1804;0.022083;2.139;Albania
09/1804;0.019084;3.083;Albania
10/1804;0.013691;1.858;Albania
11/1804;7.87;3.709;Albania
12/1804;3.926;3.359;Albania
01/1805;3.318;1.758;Albania
02/1805;4.091;2.165;Albania
03/1805;6.445;2.14;Albania
04/1805;9.276;3.027;Albania
05/1805;0.014575;1.45;Albania
06/1805;0.020397;1.813;Albania
07/1805;0.021893;1.971;Albania
08/1805;0.021591000000000003;2.281;Albania
09/1805;0.018303;2.16;Albania
10/1805;0.011523;1.3630000000000002;Albania
11/1805;5.744;3.002;Albania
12/1805;4.367;1.7080000000000002;Albania
01/1806;4.434;2.05;Albania
02/1806;5.353;3.755;Albania
03/1806;7.705;2.386;Albania
04/1806;0.010433999999999999;3.217;Albania
05/1806;0.017059;1.995;Albania
06/1806;0.019808;1.931;Albania
